"City, State",State,City,E,N,A,C,O
"American Fork, Utah",American Fork,Utah,-0.06,-0.02,0.11,-0.03,-0.04
"Americus, Georgia",Americus,Georgia,0.03,-0.06,0.04,0.0,-0.03
"Ames, Iowa",Ames,Iowa,-0.01,0.0,0.05,-0.04,-0.0
"Amesbury, Massachusetts",Amesbury,Massachusetts,-0.02,0.03,0.04,-0.03,-0.03
"Amherst, Massachusetts",Amherst,Massachusetts,0.02,-0.02,0.01,-0.01,0.1
"Amherst, New York",Amherst,New York,-0.03,0.03,0.04,-0.0,-0.05
"Amherst, Ohio",Amherst,Ohio,0.03,0.02,0.06,0.05,0.02
"Amityville, New York",Amityville,New York,-0.01,-0.02,-0.03,0.0,-0.03
"Amory, Mississippi",Amory,Mississippi,-0.02,0.07,0.02,0.01,-0.03
"Amsterdam, New York",Amsterdam,New York,-0.03,0.05,0.03,-0.0,-0.04
"Anacortes, Washington",Anacortes,Washington,-0.01,0.02,0.06,-0.01,-0.01
"Anaheim Hills, California",Anaheim Hills,California,0.06,0.01,-0.0,0.0,0.03
"Anaheim, California",Anaheim,California,-0.04,-0.04,0.01,-0.1,0.07
"Anchorage, Alaska",Anchorage,Alaska,-0.03,-0.07,0.05,-0.0,0.1
"Andalusia, Alabama",Andalusia,Alabama,-0.03,0.04,-0.0,-0.01,-0.01
"Anderson, California",Anderson,California,-0.02,0.0,0.05,-0.01,-0.09
"Anderson, Indiana",Anderson,Indiana,-0.03,-0.02,0.09,0.07,-0.01
"Anderson, South Carolina",Anderson,South Carolina,0.03,0.0,0.07,0.01,-0.03
"Andover, Kansas",Andover,Kansas,0.01,-0.03,0.08,0.01,-0.07
"Andover, Massachusetts",Andover,Massachusetts,0.01,0.02,0.01,0.01,-0.03
"Andover, Minnesota",Andover,Minnesota,-0.01,0.04,0.0,-0.04,-0.14
"Angleton, Texas",Angleton,Texas,0.0,-0.01,0.03,-0.01,-0.02
"Angola, Indiana",Angola,Indiana,-0.01,0.04,0.04,0.02,-0.01
"Ankeny, Iowa",Ankeny,Iowa,0.03,-0.03,0.02,0.0,-0.03
"Ann Arbor, Michigan",Ann Arbor,Michigan,-0.04,-0.01,-0.01,-0.03,0.16
"Annandale, Virginia",Annandale,Virginia,-0.04,-0.04,0.04,-0.04,0.04
"Annapolis, Maryland",Annapolis,Maryland,0.02,0.01,-0.07,-0.0,-0.01
"Anniston, Alabama",Anniston,Alabama,-0.0,0.03,0.06,0.05,-0.01
"Anoka, Minnesota",Anoka,Minnesota,-0.0,-0.05,0.06,0.01,-0.02
"Ansonia, Connecticut",Ansonia,Connecticut,0.0,0.02,0.02,0.01,-0.07
"Antelope, California",Antelope,California,-0.05,0.01,0.07,-0.01,-0.02
"Antigo, Wisconsin",Antigo,Wisconsin,0.01,-0.01,-0.02,-0.02,-0.03
"Antioch, California",Antioch,California,-0.06,0.01,-0.02,-0.02,-0.02
"Antioch, Illinois",Antioch,Illinois,-0.01,0.02,0.01,0.01,-0.07
"Antioch, Tennessee",Antioch,Tennessee,-0.01,0.06,-0.01,-0.02,-0.01
"Apache Junction, Arizona",Apache Junction,Arizona,0.01,-0.02,0.02,0.01,0.01
"Apex, North Carolina",Apex,North Carolina,0.01,0.01,0.05,-0.03,-0.07
"Apopka, Florida",Apopka,Florida,-0.03,0.09,0.02,-0.01,-0.01
"Apple Valley, California",Apple Valley,California,0.03,-0.06,0.13,0.02,0.12
"Apple Valley, Minnesota",Apple Valley,Minnesota,-0.08,0.05,-0.05,-0.04,-0.18
"Appleton, Wisconsin",Appleton,Wisconsin,-0.06,0.0,0.01,-0.01,-0.1
"Aptos, California",Aptos,California,0.02,0.05,0.03,0.01,0.01
"Arab, Alabama",Arab,Alabama,0.01,-0.01,0.08,0.02,-0.14
"Arcadia, California",Arcadia,California,-0.02,-0.02,0.04,-0.05,-0.02
"Arcata, California",Arcata,California,-0.02,-0.05,0.05,-0.03,0.07
"Ardmore, Oklahoma",Ardmore,Oklahoma,0.02,0.04,-0.03,-0.04,0.02
"Arkadelphia, Arkansas",Arkadelphia,Arkansas,-0.01,0.02,-0.05,-0.02,-0.1
"Arkansas City, Kansas",Arkansas City,Kansas,0.0,0.02,0.01,-0.02,-0.01
"Arlington Heights, Illinois",Arlington Heights,Illinois,0.03,-0.07,0.04,0.04,-0.0
"Arlington, Massachusetts",Arlington,Massachusetts,0.0,-0.0,-0.02,-0.05,-0.04
"Arlington, Texas",Arlington,Texas,-0.01,-0.05,0.03,-0.01,-0.0
"Arlington, Virginia",Arlington,Virginia,-0.0,-0.05,0.02,-0.03,0.07
"Arlington, Washington",Arlington,Washington,0.0,0.02,0.03,-0.04,-0.03
"Armada, Michigan",Armada,Michigan,0.03,-0.01,0.01,0.01,0.01
"Arnold, Maryland",Arnold,Maryland,0.0,0.04,0.0,-0.06,-0.08
"Arnold, Missouri",Arnold,Missouri,0.03,0.06,0.04,-0.04,-0.01
"Arroyo Grande, California",Arroyo Grande,California,-0.05,0.06,-0.01,0.0,0.02
"Artesia, California",Artesia,California,-0.01,0.02,0.06,-0.01,-0.03
"Arvada, Colorado",Arvada,Colorado,-0.02,-0.06,0.1,0.07,-0.02
"Asbury Park, New Jersey",Asbury Park,New Jersey,-0.0,-0.06,0.0,0.01,-0.01
"Ashburn, Virginia",Ashburn,Virginia,-0.01,0.01,0.1,-0.04,-0.08
"Asheboro, North Carolina",Asheboro,North Carolina,0.01,-0.02,0.1,0.03,-0.04
"Asheville, North Carolina",Asheville,North Carolina,-0.07,0.04,0.05,0.0,0.01
"Ashland, Kentucky",Ashland,Kentucky,-0.06,0.15,-0.04,-0.01,-0.05
"Ashland, Massachusetts",Ashland,Massachusetts,-0.0,0.0,0.04,-0.01,-0.02
"Ashland, Ohio",Ashland,Ohio,-0.0,0.02,0.03,-0.0,-0.07
"Ashland, Oregon",Ashland,Oregon,-0.04,0.09,0.0,-0.03,0.09
"Ashland, Virginia",Ashland,Virginia,-0.02,0.02,0.04,-0.0,-0.1
"Ashland, Wisconsin",Ashland,Wisconsin,0.0,0.01,0.04,0.01,-0.03
"Ashtabula, Ohio",Ashtabula,Ohio,-0.05,0.09,-0.04,0.05,-0.03
"Ashville, Ohio",Ashville,Ohio,-0.01,-0.01,0.07,0.0,-0.08
"Aston, Pennsylvania",Aston,Pennsylvania,0.02,0.06,-0.03,0.0,-0.09
"Astoria, New York",Astoria,New York,0.01,0.08,-0.11,-0.04,0.09
"Astoria, Oregon",Astoria,Oregon,0.01,-0.03,0.05,0.0,0.05
"Atascadero, California",Atascadero,California,0.01,-0.06,0.05,-0.02,0.04
"Atchison, Kansas",Atchison,Kansas,-0.04,0.06,-0.02,-0.02,-0.09
"Atco, New Jersey",Atco,New Jersey,-0.0,0.05,-0.05,-0.04,-0.04
"Athens, Alabama",Athens,Alabama,-0.0,0.03,0.04,0.0,-0.07
"Athens, Georgia",Athens,Georgia,0.03,0.02,0.01,0.03,0.08
"Athens, Ohio",Athens,Ohio,0.01,-0.02,0.05,-0.02,-0.04
"Athens, Tennessee",Athens,Tennessee,-0.03,0.09,0.04,-0.02,-0.08
"Athens, Texas",Athens,Texas,-0.0,0.05,0.03,0.0,0.03
"Atlanta, Georgia",Atlanta,Georgia,0.13,-0.16,-0.09,0.05,0.11
"Atlantic City, New Jersey",Atlantic City,New Jersey,0.06,-0.06,-0.09,-0.01,0.02
"Attleboro, Massachusetts",Attleboro,Massachusetts,-0.01,0.02,-0.0,0.02,-0.1
"Atwater, California",Atwater,California,-0.02,0.04,0.03,0.0,-0.06
"Auburn Hills, Michigan",Auburn Hills,Michigan,-0.01,0.07,-0.0,-0.03,0.03
"Auburn, Alabama",Auburn,Alabama,0.04,-0.04,0.05,0.05,0.02
"Auburn, California",Auburn,California,-0.01,0.06,0.03,-0.03,-0.02
"Auburn, Indiana",Auburn,Indiana,-0.01,0.02,0.02,-0.01,-0.08
"Auburn, Maine",Auburn,Maine,-0.02,0.05,0.04,0.0,-0.04
"Auburn, Massachusetts",Auburn,Massachusetts,-0.03,0.03,-0.03,-0.03,-0.06
"Auburn, New York",Auburn,New York,-0.04,0.06,-0.03,-0.02,-0.1
"Auburn, Washington",Auburn,Washington,0.06,-0.02,0.12,0.02,-0.07
"Auburndale, Florida",Auburndale,Florida,-0.03,0.09,-0.01,-0.03,-0.09
"Augusta, Georgia",Augusta,Georgia,0.04,-0.06,-0.01,0.11,0.09
"Augusta, Kansas",Augusta,Kansas,-0.01,0.04,0.05,0.0,-0.01
"Augusta, Maine",Augusta,Maine,0.01,-0.0,0.03,0.01,-0.0
"Aurora, Colorado",Aurora,Colorado,-0.0,-0.02,0.03,0.01,0.02
"Aurora, Illinois",Aurora,Illinois,-0.02,-0.05,-0.0,-0.04,0.01
"Aurora, Ohio",Aurora,Ohio,0.02,0.02,0.06,-0.01,-0.07
"Austell, Georgia",Austell,Georgia,0.01,0.03,0.06,0.0,-0.03
"Austin, Minnesota",Austin,Minnesota,-0.04,-0.02,0.06,0.02,-0.06
"Austin, Texas",Austin,Texas,0.02,-0.05,0.03,-0.02,0.12
"Austintown, Ohio",Austintown,Ohio,-0.01,0.05,-0.05,-0.05,-0.01
"Australia Landing, Mississippi",Australia Landing,Mississippi,-0.02,0.07,0.02,-0.02,-0.04
"Avon Lake, Ohio",Avon Lake,Ohio,0.01,-0.01,0.01,-0.02,0.0
"Avon Park, Florida",Avon Park,Florida,-0.02,-0.03,0.03,-0.01,-0.07
"Avon, Indiana",Avon,Indiana,-0.01,0.02,-0.0,-0.01,-0.08
"Avon, Ohio",Avon,Ohio,-0.01,-0.01,0.09,0.02,0.01
"Avondale, Arizona",Avondale,Arizona,0.01,0.01,-0.03,-0.01,-0.1
"Azle, Texas",Azle,Texas,-0.0,0.03,0.02,-0.01,-0.01
"Aztec, New Mexico",Aztec,New Mexico,-0.03,0.01,0.03,0.03,-0.07
"Azusa, California",Azusa,California,-0.01,-0.03,-0.02,-0.02,0.04
"Babylon, New York",Babylon,New York,0.01,0.02,0.03,-0.03,-0.0
"Bainbridge Island, Washington",Bainbridge Island,Washington,-0.04,0.07,-0.01,-0.03,-0.01
"Bainbridge, Georgia",Bainbridge,Georgia,-0.01,-0.02,0.04,0.01,0.0
"Baker, Louisiana",Baker,Louisiana,0.01,0.04,0.0,-0.02,-0.04
"Bakersfield, California",Bakersfield,California,-0.02,-0.0,0.03,0.0,-0.04
"Baldwin Park, California",Baldwin Park,California,-0.0,0.03,-0.02,-0.08,-0.01
"Baldwin, New York",Baldwin,New York,0.03,0.02,0.01,0.01,-0.07
"Baldwin, Wisconsin",Baldwin,Wisconsin,0.01,-0.01,0.06,-0.01,-0.01
"Baldwinsville, New York",Baldwinsville,New York,0.04,0.02,0.09,-0.02,-0.01
"Ballston Spa, New York",Ballston Spa,New York,-0.06,0.02,0.01,-0.03,-0.1
"Ballwin, Missouri",Ballwin,Missouri,-0.01,0.05,0.01,-0.0,-0.07
"Baltimore, Maryland",Baltimore,Maryland,0.06,-0.07,-0.12,0.03,0.07
"Bangor, Maine",Bangor,Maine,-0.02,0.03,0.02,-0.0,-0.08
"Bangor, Pennsylvania",Bangor,Pennsylvania,-0.04,0.1,-0.01,-0.01,-0.02
"Baraboo, Wisconsin",Baraboo,Wisconsin,0.02,0.02,0.07,-0.03,0.01
"Barberton, Ohio",Barberton,Ohio,-0.02,0.07,0.04,-0.01,-0.11
"Bardstown, Kentucky",Bardstown,Kentucky,-0.05,0.08,0.04,-0.01,-0.1
"Barnegat, New Jersey",Barnegat,New Jersey,-0.02,0.05,0.01,0.01,-0.04
"Barre, Vermont",Barre,Vermont,-0.03,0.04,-0.0,-0.0,-0.05
"Barrington, Illinois",Barrington,Illinois,0.02,0.03,-0.01,-0.01,-0.01
"Barrington, Rhode Island",Barrington,Rhode Island,-0.02,0.03,-0.05,-0.01,-0.05
"Barstow, California",Barstow,California,0.01,-0.03,-0.01,-0.01,0.04
"Bartlesville, Oklahoma",Bartlesville,Oklahoma,0.04,0.02,0.08,0.01,-0.03
"Bartlett, Illinois",Bartlett,Illinois,0.02,0.03,-0.02,-0.05,-0.06
"Bartlett, Tennessee",Bartlett,Tennessee,-0.04,0.01,0.0,-0.0,-0.11
"Bartonville, Illinois",Bartonville,Illinois,-0.03,0.04,-0.02,-0.01,-0.08
"Bartow, Florida",Bartow,Florida,0.0,-0.01,0.01,0.01,0.04
"Basking Ridge, New Jersey",Basking Ridge,New Jersey,0.0,0.02,0.04,-0.03,-0.01
"Bastrop, Louisiana",Bastrop,Louisiana,-0.01,0.07,0.03,-0.01,-0.07
"Bastrop, Texas",Bastrop,Texas,-0.01,0.05,-0.0,-0.04,0.01
"Batavia, Illinois",Batavia,Illinois,-0.02,-0.0,0.09,-0.02,-0.05
"Batavia, New York",Batavia,New York,-0.01,0.02,-0.03,0.02,-0.14
"Batavia, Ohio",Batavia,Ohio,-0.01,0.02,0.02,-0.01,-0.08
"Batesville, Arkansas",Batesville,Arkansas,-0.0,0.02,0.08,0.03,0.02
"Batesville, Indiana",Batesville,Indiana,-0.04,0.04,-0.04,0.01,-0.09
"Bath, Maine",Bath,Maine,-0.0,-0.0,0.01,0.01,0.01
"Baton Rouge, Louisiana",Baton Rouge,Louisiana,0.09,-0.07,-0.01,-0.0,0.06
"Battle Creek, Michigan",Battle Creek,Michigan,-0.0,0.03,0.04,-0.03,-0.05
"Battle Ground, Washington",Battle Ground,Washington,-0.02,0.04,-0.0,-0.03,-0.03
"Baxter Springs, Kansas",Baxter Springs,Kansas,0.03,0.01,0.01,0.02,-0.05
"Bay City, Michigan",Bay City,Michigan,-0.01,0.01,0.09,0.06,-0.14
"Bay City, Texas",Bay City,Texas,0.01,-0.0,0.05,0.02,0.02
"Bay Shore, New York",Bay Shore,New York,-0.05,0.05,0.03,-0.03,0.01
"Bay Village, Ohio",Bay Village,Ohio,-0.01,0.03,0.01,0.01,-0.01
